le_1990,le_1991,le_1992,le_1993,le_1994,le_1995,le_1996,le_1997,le_1998,le_1999,le_2000,le_2001,le_2002,le_2003,le_2004,le_2005,le_2006,le_2007,le_2008,le_2009,le_2010,le_2011,le_2012,le_2013,le_2014,le_2015,le_2016,le_2017,le_2018,le_2019,le_2020,le_2021,le_2022,eys_1990,eys_1991,eys_1992,eys_1993,eys_1994,eys_1995,eys_1996,eys_1997,eys_1998,eys_1999,eys_2000,eys_2001,eys_2002,eys_2003,eys_2004,eys_2005,eys_2006,eys_2007,eys_2008,eys_2009,eys_2010,eys_2011,eys_2012,eys_2013,eys_2014,eys_2015,eys_2016,eys_2017,eys_2018,eys_2019,eys_2020,eys_2021,eys_2022,mys_1990,mys_1991,mys_1992,mys_1993,mys_1994,mys_1995,mys_1996,mys_1997,mys_1998,mys_1999,mys_2000,mys_2001,mys_2002,mys_2003,mys_2004,mys_2005,mys_2006,mys_2007,mys_2008,mys_2009,mys_2010,mys_2011,mys_2012,mys_2013,mys_2014,mys_2015,mys_2016,mys_2017,mys_2018,mys_2019,mys_2020,mys_2021,mys_2022,gnipc_1990,gnipc_1991,gnipc_1992,gnipc_1993,gnipc_1994,gnipc_1995,gnipc_1996,gnipc_1997,gnipc_1998,gnipc_1999,gnipc_2000,gnipc_2001,gnipc_2002,gnipc_2003,gnipc_2004,gnipc_2005,gnipc_2006,gnipc_2007,gnipc_2008,gnipc_2009,gnipc_2010,gnipc_2011,gnipc_2012,gnipc_2013,gnipc_2014,gnipc_2015,gnipc_2016,gnipc_2017,gnipc_2018,gnipc_2019,gnipc_2020,gnipc_2021,gnipc_2022
45.967,46.663,47.596,51.466,51.495,52.544,53.243,53.634,52.943,54.846,55.298,55.798,56.454,57.344,57.944,58.361,58.684,59.111,59.852,60.364,60.851,61.419,61.923,62.417,62.545,62.659,63.136,63.016,63.081,63.565,62.575,61.982,62.879,2.936460018,3.228456167,3.520452316,3.812448465,4.104444614,4.396440763,4.688436912,4.980433061,5.272429209,5.564425358,5.856421507,6.148417656,6.440413805,6.732409954,7.600430012,7.858029938,8.115629864,8.37322979,8.630829716,8.888429642,9.180809975,9.473190308,9.803686778,10.13418325,10.46467972,10.48297477,10.50126982,10.51956487,10.53785992,10.62129205,10.70538475,10.70538475,10.70538475,0.871961963,0.915267456,0.95857295,1.001878443,1.045183937,1.08848943,1.123601992,1.158714555,1.193827117,1.228939679,1.264052241,1.315550666,1.367049091,1.418547515,1.47004594,1.521544365,1.595280745,1.669017126,1.742753507,1.816489888,1.890226268,1.937043018,1.983859768,2.030676517,2.077493267,2.124310017,2.267770012,2.411230008,2.554690003,2.698149999,2.8416099950000002,2.98506999,2.514790058,8.044199640165177,7.943535939519397,7.813867175838036,7.451833706572422,7.091750840514657,7.297810061617999,7.291898576939985,7.199472308036701,7.1125666703729,7.023155540307389,6.954011460088489,6.888708591175692,7.218352682179521,7.289895796114843,7.281842038424382,7.3187223010984095,7.363831230594546,7.546909518596288,7.516964577977316,7.57745886847447,7.604291166882254,7.62998166718487,7.6844853265273745,7.716108610770736,7.706205426093991,7.66981693735633,7.660285476062039,7.660904052963685,7.641138906182634,7.655857572256904,7.594282481761693,7.335722229011149,7.196840666077173
73.144,73.378,73.715,73.939,74.131,74.362,74.592,73.904,74.99,75.183,75.404,75.639,75.89,76.142,76.376,76.621,76.816,77.549,77.653,77.781,77.936,78.092,78.064,78.123,78.407,78.644,78.86,79.047,79.184,79.282,76.989,76.463,76.833,11.57933998,11.78129959,10.65800953,10.07353973,9.992659569,10.05914021,10.16149998,10.36505985,10.54819012,10.63376045,10.70049,10.91763973,11.02056026,11.37574959,11.50094032,12.2344799,12.55426025,12.9734602,13.17510033,13.36019993,14.1717701,15.00177956,15.76570988,15.99631023,16.24332047,15.91224003,15.44941998,15.32594013,15.10783005,15.1776104,14.75971985,14.57174969,14.48746967,7.354632085,7.352753507,7.350874929,7.348996351,7.347117774,7.345239196,7.627025866,7.908812536,8.190599206,8.472385876,8.754172545,8.823679924,8.888405664,8.953131403,9.017857143,9.082582882,9.147308622,9.212034362,9.276760101,9.451739947,9.626719793,9.801699638,10.02511024,10.01542816,10.00574608,9.996063995,9.986381912,9.976699829,10.02484799,10.07299615,10.12114431,10.12114431,10.12114431,8.510001884439898,8.16101308902323,8.063735888606303,8.18755372595655,8.281684763623302,8.424988657736762,8.520408876155575,8.410978386290386,8.507665945192144,8.629736711954898,8.710320604416301,8.801670979929145,8.842249850853557,8.901305768283393,8.956304200710948,9.011643341144897,9.08415215792961,9.14840706243265,9.20657611433974,9.22553255316662,9.272661683482614,9.310785489031607,9.318858156112288,9.354697494234985,9.366628634117065,9.394017730089349,9.432251691604668,9.457370430772643,9.49572478407691,9.509108649733404,9.478008063763621,9.574968240308994,9.635171836411192
67.416,67.688,67.757,67.719,67.361,67.454,68.749,69.171,69.451,70.032,70.478,70.823,71.23,71.287,71.762,72.061,72.334,72.602,72.941,73.62,73.808,74.123,74.202,74.615,75.11,75.622,75.732,75.743,76.066,76.474,74.453,76.377,77.129,9.797889709,9.823940277,9.909230232,9.915590286,9.986069679,9.958029747,10.12388992,10.41034667,10.69680341,10.98326015,11.22196007,11.46065998,11.86806965,12.13883018,12.47397995,12.72078991,12.81142044,12.98950005,13.43463516,13.87977028,14.23808002,14.46667957,14.55951595,14.65235233,14.74518871,14.83802509,14.93086147,15.02369785,15.11653423,15.20937061,15.30220699,15.39504337,15.48787975,4.614607921,4.830320362,5.046032803,5.261745244,5.477457686,5.693170127,5.876116121,6.059062116,6.2420081100000004,6.424954105,6.607900099,6.695277291,6.782654482,6.870031674,6.957408865,7.044786056,7.268690109,7.327584982,7.386479855,7.353188038,7.319896221,7.286604404,7.253312588,7.220020771,7.186728954,7.153437138,7.120145321,7.086853504,7.053561687,7.020269871,6.987443608,6.987443608,6.987443608,9.058675618322429,9.009127666864448,9.012901922219674,8.976847655946402,8.942638936074033,8.953882810530985,8.97495462673963,8.974756380910671,9.01377970921304,9.027361063310886,9.043063056826218,9.073941428999094,9.107921343455708,9.164455499252464,9.187455613519802,9.220908094382176,9.230042394211843,9.270450240153222,9.282106934024501,9.27876258493519,9.301579964533836,9.303899912122901,9.315009293638004,9.316343071589746,9.331647793238501,9.347931764759824,9.373192173016077,9.361624557617448,9.344703731670107,9.337283266409013,9.27189481831296,9.289439692954236,9.30368550506751
71.784,72.319,72.43,72.565,73.172,73.133,73.307,73.09,73.474,73.722,73.926,74.186,74.408,74.08,74.855,75.139,75.433,75.006,75.641,75.936,75.721,76.124,76.467,76.491,76.755,76.76,76.308,76.833,76.999,77.284,75.892,75.39,76.064,13.39248967,13.35243988,13.31250985,13.27257983,13.2326498,13.45425487,13.67585993,13.89746499,14.11907005,15.17325974,15.68756962,16.30578041,16.39250946,16.26638985,16.29898071,16.01845932,16.17373085,16.18906021,16.381809230000002,16.7100296,17.02877998,17.26371956,17.23535919,17.2339592,17.42231941,17.58465958,17.85773087,17.84296989,17.85782051,18.08637047,18.36116028,18.97950935,18.97950935,8.126089428,8.192950249,8.260361195,8.327772141,8.395183086,8.462594032,8.530004978,8.597415924,8.66482687,8.732237816,8.799648762,8.867059708,9.391139984,9.915220261,10.00709343,10.0989666,10.19083977,10.29859972,10.40635967,10.54321003,10.59963989,10.69979,10.78507042,10.89459991,10.90851021,10.91755009,10.92819023,11.01644516,11.10470009,11.12439013,11.14408016,11.14408016,11.14408016,9.516992110202114,9.601763711610293,9.675390825098507,9.746982494584504,9.788571939204655,9.742891507228654,9.781860751946194,9.846867247948246,9.869647415526252,9.822295611371683,9.802612783633576,9.744385015811128,9.59203506776989,9.67884921458482,9.679332741946574,9.752152176270194,9.90520838854816,9.988105721879132,10.018966763090923,9.941713553819861,10.031579189292673,10.083407648964295,10.067119846738338,10.082198475914618,10.046982403712304,10.065048479395879,10.029788183158612,10.043024532652653,9.995290325848021,9.962014502836055,9.861785757041973,9.956718982050813,10.000975872560725
68.821,68.643,68.627,68.841,69.073,69.311,69.783,69.91,70.514,70.257,70.624,70.932,71.018,71.436,71.421,71.792,71.987,72.327,72.398,72.813,73.16,73.305,73.454,73.676,74.058,74.436,74.664,74.906,75.064,75.439,72.173,72.043,73.372,11.20504035,10.74901009,10.31153965,10.7276001,10.47511005,10.17511988,9.8751297,10.15093994,10.73042965,10.87100983,10.72482014,10.50561047,10.54656029,10.58751011,10.62845993,10.88076973,11.33533955,11.92838955,11.69701958,12.23157978,12.42601967,12.55574036,12.67855024,12.80136013,13.07810974,13.13249016,13.36215019,13.59181023,13.82147026,13.99892044,14.07796955,14.43037987,14.40561008,9.781759786,9.851629499,9.921499211,9.991368924,10.06123864,10.13110835,10.20291889,10.27472943,10.34653996,10.4183505,10.49016104,10.48822021,10.55885315,10.62948608,10.70011902,10.77075195,10.84138489,10.91201782,10.98265076,11.05328369,11.12391663,11.19454956,11.28896475,11.38337994,11.47779512,11.572210310000001,11.68974018,11.18758965,11.23515987,11.2827301,11.33030033,11.33030033,11.33030033,8.55319582884454,8.40960702483384,7.878781186469072,7.820462297820801,7.893266351776777,8.006118638003166,8.071709687378464,8.144510404328733,8.195591731819379,8.237625964099644,8.305962493946556,8.407676085984665,8.545645984974051,8.683124666650706,8.796412690639931,8.933224671344439,9.068949944623851,9.212030613712466,9.291281188844279,9.125481882551055,9.16086371923238,9.199538229041092,9.279717194944329,9.335801582856472,9.359465857494973,9.389862718801593,9.380442562134538,9.468831727172327,9.507404653286825,9.583408886425522,9.486580909487436,9.533429265566904,9.641362743796826
77.044,77.483,77.477,78.01,77.856,78.262,78.349,78.632,79.028,79.285,79.631,80.016,80.064,80.455,80.751,81.113,81.282,81.26,81.459,81.766,82.055,82.134,82.346,82.604,82.568,82.655,82.871,83.001,83.387,83.11,84.324,84.526,83.579,17.4329358,17.43243413,17.43193246,17.43143082,17.43092918,18.97002983,19.51165962,20.28628922,20.45081096,20.61533271,20.77985446,20.9443762,21.10889795,21.2734197,21.43794145,21.60246319,21.76698494,21.93150669,22.09602843,22.26055018,22.42507193,22.58959368,22.75411542,22.91863717,23.08315892,23.24768066,22.85634995,21.95104027,20.42849922,21.37561989,20.93943977,21.0800209,21.0800209,11.22770758,11.249762,11.27181643,11.29387086,11.31592528,11.33797971,11.32795497,11.31793023,11.30790549,11.29788075,11.28785601,11.34399455,11.40013309,11.45627163,11.51241016,11.54751968,11.6446104,11.7118597,11.9376297,11.98707962,12.03444004,12.11583996,12.29574013,12.01885986,12.16699982,12.2456398,12.35210991,12.42234039,12.55362034,12.65668964,12.72681999,12.72681999,12.72681999,10.273807033013142,10.266746541303966,10.307752069222751,10.341914956012394,10.357406550819645,10.383283709652618,10.411968566451314,10.448367604271624,10.486707927788183,10.516771276564425,10.526360545627863,10.554391760454022,10.572232610103264,10.601802600138532,10.61256050287641,10.62541754987274,10.642040553257022,10.663362612557464,10.668079439743824,10.666787131971235,10.672634078617843,10.705729647872577,10.720366539234925,10.727871167254287,10.739734548569551,10.748559162952509,10.751775583471206,10.759741918200087,10.763353004726508,10.759061625046023,10.780508653308539,10.78053159531963,10.804809513263914
75.74,75.793,75.993,76.226,76.543,76.777,77.027,77.429,77.783,77.956,78.236,78.719,78.847,78.85,79.363,79.521,79.966,80.167,80.364,80.207,80.464,80.829,80.841,81.078,81.39,81.159,81.593,81.639,81.686,81.908,81.504,81.58,82.412,13.84039021,13.9349699,14.23005962,14.41880989,14.620759960000001,14.82771015,14.96805954,15.00072956,15.08288002,15.15789445,15.23290888,15.30792332,15.38293775,15.45795218,15.53296661,15.60798105,15.68299548,15.75800991,15.86114979,15.86686993,16.12933922,16.17313004,16.30450058,16.03704071,16.02224922,16.03313065,15.89675999,15.94421005,16.02190971,16.07625008,16.12446976,16.36746025,16.36746025,10.20033055,10.29016018,10.3807809,10.47140162,10.56202235,10.65264307,10.74326379,10.83388451,10.92450523,11.01512596,11.10574668,11.1963674,11.28698812,11.37760884,11.46822957,11.55885029,11.54505491,11.53125954,11.46809959,11.67436981,11.71487999,11.71115017,11.75162983,11.78754044,12.01449966,12.07699013,12.11466026,12.15911961,12.20790482,12.25669003,12.30571367,12.30571367,12.30571367,10.539708242271669,10.558680536052561,10.566395567637455,10.564122229866449,10.58197848863528,10.603220723272761,10.62849117311412,10.643894034187573,10.676489003785708,10.699406350647294,10.737628188803823,10.741284497539331,10.760826906664885,10.768701099301019,10.790641320108604,10.805274068986511,10.83879954436163,10.868769194143262,10.889513747521146,10.839726933593768,10.864323167253986,10.884749140077812,10.884624789053564,10.88065059282045,10.87807020057146,10.865751843192095,10.884455992985833,10.890516796073799,10.909208416751323,10.926783555615827,10.867539990564696,10.903397498782928,10.942520793345212
70.133,69.616,70.668,70.656,70.851,70.763,70.71,71.054,71.456,71.771,72.041,72.11,72.232,72.402,72.478,72.765,72.855,72.678,72.667,72.579,72.731,72.564,72.753,73.024,73.366,73.104,73.537,73.632,73.806,71.205,72.677,71.598,74.358,11.29223459,11.30924636,11.32628377,11.34334683,11.36043561,11.37755013,11.39469043,11.41185655,11.42904853,11.44626642,11.46351024,11.48078004,11.49807586,11.51539773,11.5327457,11.5501198,11.56752008,11.58494657,11.60239931,11.61987835,11.63738372,11.65491546,11.67247361,11.69005822,11.70764282,11.72522743,11.74281203,11.76039663,11.80405766,11.84771869,11.89137971,11.89137971,11.89137971,10.01280022,10.11538124,10.21796227,10.32054329,10.42312431,10.52570534,10.62828636,10.73086739,10.83344841,10.93602943,11.03861046,11.1210104,11.20341034,11.28581028,11.36821022,11.45061016,11.5330101,11.61541004,11.69780998,11.78020992,11.86260986,11.94677192,12.03153108,12.11689158,12.20285769,12.28943371,12.37662396,12.46443281,12.55286464,12.64192386,12.73161494,12.73161494,12.73161494,10.435073126688875,10.371456468468487,10.337295547260926,10.306158737607015,10.31666719793309,10.477356098776864,10.56507630571109,10.422826481564064,10.356060825649067,10.468286194819665,10.493386603113159,10.499240097071574,10.514379560684766,10.492502822116556,10.490221060007036,10.506554491591466,10.515381982887103,10.514704728222037,10.492297451533418,10.427909117202637,10.422013808380596,10.41597437105377,10.433453311551837,10.38894060497219,10.389658592951127,10.393380294921368,10.374592310629415,10.396768768390142,10.381754146144452,10.382570605968763,10.11249235109149,10.246307261264839,10.390068264558765
72.668,72.764,72.953,73.375,73.517,73.799,74.355,74.535,74.641,74.98,75.496,75.908,76.088,76.337,76.56,76.931,77.156,77.634,78.084,78.461,78.748,78.89,79.081,79.246,79.328,79.405,79.557,79.689,79.857,80.019,79.174,78.76,79.246,13.29489804,12.49958038,11.75183964,11.5489397,11.29162979,11.17031956,11.00928974,11.06060664,11.11192354,11.16324043,11.61752534,12.07181025,12.52609515,12.98038006,12.56597996,12.15157986,12.40688992,12.65253201,12.8981741,13.14381618,13.38945827,13.63510036,14.04588032,14.66265011,14.44705963,16.06879997,16.04701996,16.06158066,16.06510925,16.43700027,16.39122709,16.3454539,16.29968071,5.108272499,5.387740135,5.68249712,5.977254105,6.272011089,6.566768074,6.861525059,7.156282043,7.451039028,7.745796013,8.040552998,8.335309982,8.301632245,8.267954508,8.234276772,8.200599035,8.166921298,8.133243561,8.099565824,8.065888087,8.03221035,8.247186979,8.462163607,8.677140236,8.892116865,9.107093493,9.322070122,9.586489677,10.54808998,10.79733992,11.04658985,11.04658985,11.04658985,10.574827897505546,10.560968885534265,10.655290124308857,10.697362633919811,10.636666383456648,10.652933538870517,10.658367654874091,10.621041373336835,10.6481521214352,10.664344579091049,10.715966618664925,10.705421002054667,10.702227752372838,10.730136753414234,10.730137823132582,10.729075592273842,10.721078260350565,10.737175210377748,10.70868753762575,10.608930051918485,10.627243980756692,10.591980227923527,10.737001423226616,10.754410584398904,10.746846960749515,10.731277228654548,10.73314274718404,10.740412313082375,10.741263788359632,10.75485854651217,10.709528846535042,10.752725731287567,10.79407980172216
55.989,54.154,57.635,57.927,58.617,59.467,59.492,61.427,63.917,66.228,65.779,66.135,66.612,66.824,67.187,67.299,67.241,66.714,67.051,67.403,68.638,68.809,69.554,69.565,69.986,70.491,71.09,71.788,72.567,72.806,71.968,72.381,73.698,5.540100098,5.742722766,5.945345434,6.147968102,6.350590769,6.553213437,6.755836105,6.958458773,7.161081441,7.363704109,7.566326777,7.768949445,7.971572113,8.174194781,8.376817449,8.579440117,8.65802002,8.669939995,8.411370277,8.948829651,9.195212245,9.441594839,9.687977433,9.934360027,10.18074262,10.42712522,10.67350781,10.9198904,11.39918995,11.67276001,11.94633007,11.94633007,11.94633007,3.294752292,3.399163456,3.50357462,3.607985785,3.712396949,3.816808113,3.909618037,4.00242796,4.095237884,4.188047808,4.280857732,4.396870136,4.477070141,4.557270145,4.63747015,4.717670155,4.797870159,4.878070164,4.958270168,5.038470173,5.118670177,5.198870182,5.302340031,5.064770222,5.194399834,5.98582983,6.113890171,6.270249844,6.385879993,6.549980164,7.379059792,7.379059792,7.379059792,7.47968835612382,7.494797770389168,7.531998783362826,7.561483371113727,7.584956882365412,7.6150406447228685,7.636857654864052,7.6645042437973725,7.696216622065749,7.724584088242664,7.7589685579610865,7.787458289551703,7.815505223545711,7.844475861406834,7.8826091232451185,7.931784386243517,7.996611172430348,8.061470511847993,8.121674846333095,8.1640876162661975,8.208888485939458,8.257252223332879,8.312290727505625,8.354081579728833,8.387474614249586,8.43717014639939,8.477409739923432,8.516706125819045,8.581366837119862,8.646342591971894,8.669536675992273,8.735612413600789,8.781267097920272
